variant,model,outer_fold,threshold_method,calibration,threshold,sens,spec,ppv,npv,youdenJ
FULL,RF,4,f1,isotonic_crossfit,0.01,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333335
FULL,RF,5,f1,isotonic_crossfit,0.01,1.0,1.0,1.0,1.0,1.0
FULL,RF,1,f1,platt_crossfit,0.39,1.0,0.8571428571428571,0.8333333333333334,1.0,0.8571428571428572
FULL,RF,2,f1,platt_crossfit,0.4,1.0,1.0,1.0,1.0,1.0
FULL,RF,3,f1,platt_crossfit,0.37,1.0,1.0,1.0,1.0,1.0
FULL,RF,4,f1,platt_crossfit,0.32,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333335
FULL,RF,5,f1,platt_crossfit,0.39,1.0,1.0,1.0,1.0,1.0
FULL,RF,1,f1,uncalibrated,0.43,1.0,0.8571428571428571,0.8333333333333334,1.0,0.8571428571428572
FULL,RF,2,f1,uncalibrated,0.43,1.0,1.0,1.0,1.0,1.0
FULL,RF,3,f1,uncalibrated,0.43,1.0,1.0,1.0,1.0,1.0
FULL,RF,4,f1,uncalibrated,0.39,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333335
FULL,RF,5,f1,uncalibrated,0.43,1.0,1.0,1.0,1.0,1.0
FULL,RF,1,mcc,isotonic_crossfit,0.01,1.0,0.8571428571428571,0.8333333333333334,1.0,0.8571428571428572
FULL,RF,2,mcc,isotonic_crossfit,0.01,1.0,1.0,1.0,1.0,1.0
FULL,RF,3,mcc,isotonic_crossfit,0.01,1.0,1.0,1.0,1.0,1.0
FULL,RF,4,mcc,isotonic_crossfit,0.01,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333335
FULL,RF,5,mcc,isotonic_crossfit,0.01,1.0,1.0,1.0,1.0,1.0
FULL,RF,1,mcc,platt_crossfit,0.39,1.0,0.8571428571428571,0.8333333333333334,1.0,0.8571428571428572
FULL,RF,2,mcc,platt_crossfit,0.4,1.0,1.0,1.0,1.0,1.0
FULL,RF,3,mcc,platt_crossfit,0.37,1.0,1.0,1.0,1.0,1.0
FULL,RF,4,mcc,platt_crossfit,0.32,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333335
FULL,RF,5,mcc,platt_crossfit,0.39,1.0,1.0,1.0,1.0,1.0
FULL,RF,1,mcc,uncalibrated,0.43,1.0,0.8571428571428571,0.8333333333333334,1.0,0.8571428571428572
FULL,RF,2,mcc,uncalibrated,0.43,1.0,1.0,1.0,1.0,1.0
FULL,RF,3,mcc,uncalibrated,0.43,1.0,1.0,1.0,1.0,1.0
FULL,RF,4,mcc,uncalibrated,0.39,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333335
FULL,RF,5,mcc,uncalibrated,0.43,1.0,1.0,1.0,1.0,1.0
FULL,RF,1,youden,isotonic_crossfit,0.01,1.0,0.8571428571428571,0.8333333333333334,1.0,0.8571428571428572
FULL,RF,2,youden,isotonic_crossfit,0.01,1.0,1.0,1.0,1.0,1.0
FULL,RF,3,youden,isotonic_crossfit,0.01,1.0,1.0,1.0,1.0,1.0
FULL,RF,4,youden,isotonic_crossfit,0.01,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333335
FULL,RF,5,youden,isotonic_crossfit,0.01,1.0,1.0,1.0,1.0,1.0
FULL,RF,1,youden,platt_crossfit,0.39,1.0,0.8571428571428571,0.8333333333333334,1.0,0.8571428571428572
FULL,RF,2,youden,platt_crossfit,0.4,1.0,1.0,1.0,1.0,1.0
FULL,RF,3,youden,platt_crossfit,0.37,1.0,1.0,1.0,1.0,1.0
FULL,RF,4,youden,platt_crossfit,0.32,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333335
FULL,RF,5,youden,platt_crossfit,0.39,1.0,1.0,1.0,1.0,1.0
FULL,RF,1,youden,uncalibrated,0.43,1.0,0.8571428571428571,0.8333333333333334,1.0,0.8571428571428572
FULL,RF,2,youden,uncalibrated,0.43,1.0,1.0,1.0,1.0,1.0
FULL,RF,3,youden,uncalibrated,0.43,1.0,1.0,1.0,1.0,1.0
FULL,RF,4,youden,uncalibrated,0.39,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333335
FULL,RF,5,youden,uncalibrated,0.43,1.0,1.0,1.0,1.0,1.0
