variant,model,metric,mean,ci95_lo,ci95_hi,sd,n_folds
FULL,LogReg,brier,0.09199080010187242,0.018185799472844447,0.1657958007309004,0.0842005094315925,5
FULL,RF,brier,0.0775642363636363,0.027548779014731337,0.12757969371254124,0.05706018497851679,5
FULL,HGB,f1,0.95,0.852,1.048,0.11180339887498947,5
FULL,LinearSVM,f1,0.8694017094017094,0.7901897838910414,0.9486136349123773,0.09036900513801183,5
FULL,LogReg,f1,0.8895104895104895,0.7879173546797075,0.9911036243412715,0.1159026303719032,5
FULL,RF,f1,0.9777777777777779,0.9342222222222223,1.0213333333333334,0.04969039949999535,5
FULL,HGB,mcc,0.9366260102127946,0.812412990229872,1.0608390301957171,0.14170854916956863,5
FULL,LinearSVM,mcc,0.7791372671490862,0.634645348857185,0.9236291854409873,0.16484375076532456,5
FULL,LogReg,mcc,0.8003571107541323,0.6138628029246652,0.9868514185835994,0.21276221924666308,5
FULL,RF,mcc,0.9673320053068151,0.9033027357081727,1.0313612749054575,0.0730478568225638,5
FULL,HGB,roc_auc,0.96,0.8815999999999999,1.0384,0.08944271909999157,5
FULL,LinearSVM,roc_auc,0.917142857142857,0.8428504618388961,0.991435252446818,0.08475655413823614,5
FULL,LogReg,roc_auc,0.9885714285714287,0.9661714285714287,1.0109714285714286,0.02555506259999756,5
FULL,RF,roc_auc,0.9942857142857143,0.9830857142857145,1.0054857142857143,0.012777531299998705,5
